iter	Passed	Remaining
412	3509	2243
413	3517	2234
414	3526	2226
415	3532	2216
416	3541	2207
417	3548	2198
418	3558	2191
419	3567	2182
420	3577	2175
421	3586	2166
422	3594	2158
423	3601	2149
424	3609	2140
425	3617	2131
426	3625	2122
427	3632	2113
428	3642	2105
429	3649	2096
430	3659	2088
431	3667	2079
432	3676	2071
433	3686	2064
434	3695	2055
435	3703	2047
436	3713	2039
437	3721	2030
438	3730	2022
439	3738	2013
440	3744	2004
441	3752	1995
442	3760	1986
443	3769	1978
444	3778	1969
445	3785	1960
446	3794	1952
447	3805	1945
448	3817	1938
449	3826	1930
450	3834	1921
451	3841	1912
452	3850	1903
453	3857	1894
454	3865	1885
455	3874	1877
456	3882	1869
457	3889	1859
458	3898	1851
459	3905	1842
460	3915	1834
461	3923	1825
462	3931	1816
463	3938	1808
464	3946	1799
465	3954	1790
466	3962	1782
467	3970	1773
468	3979	1764
469	3986	1755
470	3995	1747
471	4003	1738
472	4012	1730
473	4020	1721
474	4027	1712
475	4036	1704
476	4043	1695
477	4053	1687
478	4061	1678
479	4069	1670
480	4078	1661
481	4087	1653
482	4094	1644
483	4103	1636
484	4110	1627
485	4119	1619
486	4128	1610
487	4136	1602
488	4144	1593
489	4153	1584
490	4160	1576
491	4170	1568
492	4176	1558
493	4185	1550
494	4192	1541
495	4201	1533
496	4208	1524
497	4217	1515
498	4225	1507
499	4234	1499
500	4242	1490
501	4250	1481
502	4258	1473
503	4267	1464
504	4275	1456
505	4285	1448
506	4292	1439
507	4301	1430
508	4309	1422
509	4316	1413
510	4323	1404
511	4331	1396
512	4340	1387
513	4349	1379
514	4357	1370
515	4366	1362
516	4373	1353
517	4382	1345
518	4389	1336
519	4396	1327
520	4404	1318
521	4413	1310
522	4421	1301
523	4429	1293
524	4437	1284
525	4447	1276
526	4455	1268
527	4464	1259
528	4473	1251
529	4481	1242
530	4490	1234
531	4498	1225
532	4507	1217
533	4515	1209
534	4524	1200
535	4533	1192
536	4541	1184
537	4550	1175
538	4558	1167
539	4567	1158
540	4576	1150
541	4583	1141
542	4592	1133
543	4600	1124
544	4608	1116
545	4615	1107
546	4623	1098
547	4632	1090
548	4641	1082
549	4650	1073
550	4659	1065
551	4667	1057
552	4676	1048
553	4684	1039
554	4691	1031
555	4698	1022
556	4708	1014
557	4716	1005
558	4726	997
559	4734	989
560	4743	980
561	4753	972
562	4763	964
563	4774	956
564	4786	948
565	4794	940
566	4803	931
567	4812	923
568	4819	914
569	4827	906
570	4835	897
571	4843	889
572	4853	881
573	4862	872
574	4871	864
575	4880	855
576	4890	847
577	4898	839
578	4907	830
579	4916	822
580	4924	813
581	4932	805
582	4942	796
583	4950	788
584	4959	779
585	4967	771
586	4977	763
587	4985	754
588	4994	746
589	5002	737
590	5011	729
591	5020	720
592	5029	712
593	5038	704
594	5048	695
595	5056	687
596	5065	678
597	5072	670
598	5081	661
599	5089	653
600	5096	644
601	5104	635
602	5114	627
603	5123	619
604	5131	610
605	5140	602
606	5149	593
607	5156	585
608	5165	576
609	5172	568
610	5182	559
611	5189	551
612	5199	542
613	5207	534
614	5215	525
615	5224	517
616	5233	508
617	5241	500
618	5252	492
619	5259	483
620	5267	475
621	5276	466
622	5285	458
623	5291	449
624	5299	440
625	5308	432
626	5316	423
627	5325	415
628	5333	407
629	5341	398
630	5347	389
631	5356	381
632	5365	372
633	5374	364
634	5382	355
635	5391	347
636	5399	339
637	5407	330
638	5416	322
639	5426	313
640	5433	305
641	5441	296
642	5450	288
643	5459	279
644	5467	271
645	5478	262
646	5486	254
647	5495	245
648	5503	237
649	5512	228
650	5520	220
651	5529	212
652	5538	203
653	5546	195
654	5555	186
655	5564	178
656	5572	169
657	5581	161
658	5589	152
659	5598	144
660	5606	135
661	5614	127
662	5622	118
663	5631	110
664	5639	101
665	5647	93
666	5656	84
667	5664	76
668	5673	67
669	5682	59
670	5691	50
671	5700	42
672	5708	33
673	5715	25
674	5724	16
675	5732	8
676	5740	0
