iter	MultiClass
321	0.2104143566
322	0.2099248625
323	0.2094896323
324	0.2091551079
325	0.2090027845
326	0.2088424585
327	0.2087102322
328	0.2082635048
329	0.2078463993
330	0.2076286498
331	0.2074093435
332	0.2069408005
333	0.206805393
334	0.2065917336
335	0.2062096888
336	0.2059469787
337	0.2054487164
338	0.2050620072
339	0.2048477768
340	0.2045518059
341	0.2041004521
342	0.203907263
343	0.2035894649
344	0.2033137202
345	0.2030284538
346	0.2027124544
347	0.2022454095
348	0.2018302345
349	0.2016762862
350	0.2014055801
351	0.2012641538
352	0.2007568484
353	0.2003458593
354	0.2001270519
355	0.1997425854
356	0.1993907563
357	0.1992167438
358	0.1990052344
359	0.1987366322
360	0.1982809318
361	0.1980516367
362	0.1976744293
363	0.1973376783
364	0.1971676607
365	0.1967859028
366	0.1965547363
367	0.1962663548
368	0.1956085504
369	0.1953581506
370	0.1951128181
371	0.1949181094
372	0.1945285017
373	0.1942152949
374	0.1940637436
375	0.1936222924
376	0.1931285061
377	0.1925805486
378	0.1923323446
379	0.1920133956
380	0.1918483101
381	0.1917646226
382	0.1915425977
383	0.1913696655
384	0.190985422
385	0.1906337565
386	0.1903015638
387	0.1900982778
388	0.1898767351
389	0.1895748192
390	0.1894435289
391	0.1888238556
392	0.1886507294
393	0.1884836344
394	0.1883945491
395	0.1881083495
396	0.1878856331
397	0.1877162721
398	0.187375464
399	0.1871006069
400	0.1867104298
401	0.1865362587
402	0.1863661392
403	0.1862329146
404	0.185936253
405	0.185628884
406	0.1853035758
407	0.1850917684
408	0.1848628317
409	0.1846405436
410	0.1844066495
411	0.1840610295
412	0.1836200606
413	0.1832878857
414	0.18300617
415	0.182556879
416	0.1824222943
417	0.1819460118
418	0.181696348
419	0.1814811768
420	0.1812752005
421	0.181093776
422	0.1807457557
423	0.1804661631
424	0.1801447534
425	0.1799852612
426	0.1798547516
427	0.1793741622
428	0.1792366802
429	0.1789652677
430	0.1786657189
431	0.1784617664
432	0.1782777931
433	0.177907425
434	0.1776602515
435	0.1775029094
436	0.1773060716
437	0.177154124
438	0.1767594668
439	0.1764396913
440	0.1762596708
441	0.1758856122
442	0.1755131846
