iter	MultiClass
0	0.8974668121
1	0.7699310264
2	0.6802735863
3	0.6191970657
4	0.5712858926
5	0.534541642
6	0.5078696626
7	0.4881185302
8	0.4721191519
9	0.4597270781
10	0.44940612
11	0.4391346895
12	0.4304614298
13	0.4238503687
14	0.4180101402
15	0.4137199092
16	0.409033126
17	0.4049498611
18	0.4026690428
19	0.3989146241
20	0.3960945874
21	0.3944373634
22	0.3931146851
23	0.3902035882
24	0.3884165115
25	0.3870609603
26	0.3859689406
27	0.3830660354
28	0.3819079777
29	0.3814051922
30	0.3797233019
31	0.3791441523
32	0.3774830261
33	0.3767765147
34	0.3759607667
35	0.3747675975
36	0.3744163568
37	0.3731922875
38	0.3720605486
39	0.3696891156
40	0.368253337
41	0.3671995111
42	0.3660468068
43	0.3652301171
44	0.3645829003
45	0.3629734066
46	0.362277294
47	0.3609393543
48	0.3602009023
49	0.359393542
50	0.3583483433
51	0.357634679
52	0.3567342735
53	0.3551292433
54	0.3541494507
55	0.3532487694
56	0.3522879056
57	0.3518093225
58	0.3509892945
59	0.3503600055
60	0.349149313
61	0.347977074
62	0.3468541564
63	0.3454700167
64	0.3450390851
65	0.3437541632
66	0.3426576461
67	0.3420045633
68	0.3412177292
69	0.3398972521
70	0.3393898018
71	0.3387612226
72	0.337831099
73	0.3367632596
74	0.3363840264
75	0.3359191953
76	0.3352223255
77	0.3344757217
78	0.333691033
79	0.3333808026
80	0.3325446352
81	0.3316872591
82	0.3305210156
83	0.3294975915
84	0.3286550911
85	0.326942795
86	0.3260664588
87	0.3252158588
88	0.3245604191
89	0.3238832829
90	0.3233295181
91	0.3227603222
92	0.3221430066
93	0.3216687766
94	0.3210504847
95	0.3203985627
96	0.3199169431
97	0.3196616131
98	0.3188261635
99	0.3185090129
100	0.3177681698
101	0.3174598869
102	0.3167672567
103	0.3162595087
104	0.3156945181
105	0.315272016
106	0.3146390807
107	0.3140882068
108	0.3136095226
109	0.3126539451
110	0.3120009204
111	0.3112337229
112	0.3104489528
113	0.3093522131
114	0.3083400557
115	0.3078359784
116	0.3072338411
117	0.3064781114
118	0.3047958533
119	0.304269753
120	0.3036884474
121	0.3029909486
122	0.3025543185
123	0.3018745054
124	0.3011442539
125	0.3005899952
126	0.3001880517
127	0.2993614741
128	0.2989117622
129	0.2984089865
130	0.2979319123
131	0.297560886
132	0.2967927792
133	0.2964212373
134	0.2957563198
135	0.2952374588
136	0.2945453385
137	0.2935106739
138	0.2930897763
139	0.2927315534
140	0.2918955187
141	0.2914297192
142	0.2909865891
143	0.2905053119
144	0.2896821644
145	0.2891506171
146	0.2880291969
147	0.2874972642
148	0.2864546956
149	0.2860079184
150	0.285536349
151	0.2850089378
152	0.2844936326
153	0.2836487351
154	0.2830069563
155	0.2826351585
156	0.2822307662
157	0.2813203782
158	0.2807480954
159	0.2799934156
160	0.2797476206
161	0.2791366148
162	0.2786161407
163	0.278149477
164	0.2777602615
165	0.2774418933
166	0.2766459204
167	0.2760663979
168	0.2756126237
169	0.2752975754
170	0.2748444983
171	0.2743120913
172	0.2739547745
173	0.2736094688
174	0.2728391358
175	0.2720766388
176	0.2715140354
177	0.271190808
178	0.2705374324
179	0.270067281
180	0.2695923076
181	0.2692615774
182	0.2686276456
183	0.2680096375
184	0.2678424973
185	0.2674539668
186	0.266403405
187	0.2660798135
188	0.2656285743
189	0.26504506
190	0.26468821
191	0.2644185402
192	0.2638359643
193	0.2635728541
194	0.2630598027
195	0.2626981609
196	0.2621523949
197	0.2615252546
198	0.2611007563
199	0.2606936667
200	0.2599471787
201	0.259740213
202	0.2590663204
203	0.258674199
204	0.258048576
205	0.257470986
206	0.2572026671
207	0.2567214021
208	0.2563968911
209	0.2562057454
210	0.2558116648
211	0.2552548159
212	0.2547240208
213	0.2542149788
214	0.2536150922
215	0.2531349678
216	0.2527417929
217	0.2519526177
218	0.2514500239
219	0.2509175005
220	0.2503322777
221	0.2498672288
222	0.2496608018
223	0.2494400686
224	0.2489348619
225	0.2486531679
226	0.2481074728
227	0.2475068082
228	0.2470794823
229	0.2466686551
230	0.2462158495
231	0.2458392942
232	0.2450215946
233	0.2444158225
234	0.2442884577
235	0.2436744535
236	0.2432029788
237	0.2426546151
238	0.2422210572
239	0.2415695672
240	0.2410254431
241	0.2404823461
242	0.240261394
243	0.2396073818
244	0.2394774085
245	0.2391007779
246	0.238515406
247	0.2379053399
248	0.2375386309
249	0.2371183004
250	0.2368189234
251	0.2364646112
252	0.236236621
253	0.2353715944
254	0.2345405804
255	0.2343890799
256	0.2340411867
257	0.2335452447
258	0.2331578722
259	0.2328542882
260	0.2325559893
261	0.2321477463
262	0.2318319965
263	0.231269367
264	0.2305498445
265	0.2303203917
266	0.2299087944
267	0.2294498485
268	0.2289144766
269	0.2284377598
270	0.2282671152
271	0.2278008577
272	0.227644819
273	0.2272643857
274	0.226435906
275	0.2261148569
276	0.2255951192
277	0.2254660468
278	0.2252551948
279	0.2248254427
280	0.224238782
281	0.2239679052
282	0.2235205183
283	0.223133285
284	0.22267062
285	0.2222406157
286	0.2217205712
287	0.2214394594
288	0.2211666214
289	0.2206465793
290	0.2202631108
291	0.2199233731
292	0.2196262769
293	0.2193255101
294	0.2191671176
295	0.2188796457
296	0.2187551878
297	0.2183524192
298	0.2180634772
299	0.217821674
300	0.2176025636
301	0.2171192925
302	0.2169111121
303	0.2167317395
304	0.2164674728
305	0.2162021668
306	0.215774912
307	0.2150598585
308	0.2147728048
309	0.2144167729
310	0.2140367599
311	0.2136889427
312	0.2132523871
313	0.2128925685
314	0.2126382267
315	0.212193653
316	0.2120013063
317	0.2116420637
318	0.2113878329
319	0.2107486433
320	0.2105745658
